Istuntokauden uudelleenavaaminen	Resumption of the session
Järjestämme seuraavan tämän vuoden maaliskuussa, ja aion jatkaa tätä käytäntöä, ja kirjata tulostauluun, kuinka hyvin jäsenvaltiot panevat täytäntöön yhteisön lainsäädäntöä.	A second exercise will take place in March this year and I will continue to follow this up so as to give us a scoreboard of how Member States are implementing Community legislation.
Kuten jäsen Jackson kertoi, Euroopan parlamentti ja neuvosto sopivat aivan viime viikolla suosituksesta, jolla määritellään vähimmäisvaatimukset jäsenvaltioiden ympäristötarkastuksille.	Just last week the European Parliament and the Council, as Mrs Jackson said, reached an agreement on a recommendation which will establish minimum criteria for environmental inspections in the Member States.
Näillä kaikilla tavoitteilla pyritään lisäämään yhteisön oikeuden ja ympäristölainsäädännön tuntemusta ja noudattamista.	All these initiatives are intended to increase the level of knowledge of and compliance with European Community and environmental law.
Myönnän toki, että paljon on vielä tekemättä.	Of course, I acknowledge that there is still much to be done.
Meidän täytyy etsiä uusia keinoja parantaa ympäristölainsäädännön siirtämistä ja soveltamista.	We have to look for new ways to encourage the proper transposition and application of environmental legislation.
Meidän pitää esimerkiksi kasvattaa väestön osallistumista paikallisella ja alueellisella tasolla.	For example, we need to work to improve the involvement of people at the local and regional level.
Väestön valveutuneisuuden parantaminen näillä tasoilla johtaisi tarkempaan valvontaan ja ympäristölainsäädännön tehokkaamman täytäntöönpanon vaatimiseen.	Greater public awareness at these levels would lead to closer scrutiny and to public demand for effective implementation of environmental legislation.
Meidän täytyy pysyä valppaina ja aktiivisina varmistaaksemme, että tilanne kohenee, ja haluan vahvistaa Euroopan parlamentille, että yksikköni ja minä olemme sitoutuneet täysin varmistamaan yhteisön ympäristölainsäädännön mahdollisimman laajan noudattamisen.	We must remain vigilant and active to ensure that the situation improves and I would like to confirm to the European Parliament my personal commitment and that of my services to ensuring the highest possible level of compliance with European Community environmental law.
Käytän kaikkia käytössäni olevia keinoja, myös EY:n perustamissopimuksen 226 ja 228 artiklassa tai Euratomin perustamissopimuksen 141 ja 143 artiklassa esitettyjä määräysten rikkomisesta johtuvia virallisia menettelyjä, jotka voivat johtaa sakkojen määräämiseen määräyksiä rikkoville jäsenvaltioille.	To this end I will apply all means available, including the formal infringement procedures set out in Articles 226 and 228 of the European Community Treaty and 141 and 143 of the Euratom Treaty, which may lead to imposing economic penalties on non-complying Member States.
Olisin erittäin iloinen, jos Euroopan parlamentti osoittaisi käyttööni lisää varoja ja henkilöstöä tätä tehtävää varten.	I would be more than happy to receive more resources and personnel from the European Parliament to work on this.
Tällä hetkellä noin 45-50 työntekijää työskentelee koko- tai osapäiväisesti täytäntöönpanon parissa, ja heitä tarvittaisiin tietenkin enemmän.	Today we have about 45 to 50 staff working full or part-time on implementation, and, of course, we would need more than that.
Mutta uskon myös, että jokaisen virkamiehen täytyy seurata uusien lakien täytäntöönpanoa.	But I also think that it is for every civil servant here to actually look at the implementation part of introducing new legislation.
Olen tehnyt alusta lähtien hyvin selväksi, että aion painottaa täytäntöönpanon merkitystä.	I have been very clear from the beginning that I will put more emphasis on implementation.
Tämä tarkoittaa, että tiedottamisen, yhdenmukaistamisen ja täytäntöönpanon pitää olla tulevaisuuden suuntaviivat.	That needs the three I' s: information, integration and implementation, which should be the guidelines for the future.
Toivottavasti olette kanssani samaa mieltä siitä, että alamme edistyä täytäntöönpanon parantamisessa, ja jos komissio ja Euroopan parlamentti jatkavat ponnistelujaan ongelman esiin tuomiseksi ja sen korjaamiseksi, pystytään asiassa varmasti edistymään vielä tämän vaalikauden aikana.	I hope that you will agree with me that we are starting to make progress on improving implementation and if both the Commission and the European Parliament continue their efforts to highlight the problem and act on it, further progress will surely be made during this parliamentary term.
Arvoisa puhemies, hyvät jäsenet, ympäristöasioiden ja kansanterveyden alalla Euroopan lainsäädäntömenettelyn pääasiallisena ongelmana ei ole kyvyttömyys laatia asianmukaista lainsäädäntöä.	Mr President, ladies and gentlemen, in the field of the environment and public health, the main problem with the European legislative process is not its inability to produce appropriate legislation.
Ongelmana on yhtäältä se, miten hitaasti direktiivit siirretään jäsenvaltioiden oikeusjärjestykseen ja toisaalta taas puutteet niiden soveltamisessa.	The problem lies, on the one hand, in the slowness with which directives are transposed into national law and, on the other, in shortcomings in their implementation.
Nyt käytävässä keskustelussa käsiteltävät ympäristödirektiivit, jotka koskevat PCB:tä, nitraatteja ja luontotyyppejä, havainnollistavat tätä näkemystä.	The environmental directives that we are now debating, on PCBs, nitrates and habitats, are examples of this very problem.
Siitä, että hyväksyimme luontotyyppejä koskevan direktiivin ja loimme Natura 2000 -verkon suojellaksemme yhteisön kannalta merkittäviä paikkoja, ei ole juurikaan ollut hyötyä, kun komissio on odottanut vuodesta 1995 lähtien, että kaikki jäsenvaltiot esittäisivät lopullisen luettelon noista paikoista, samoin kuin asianmukaiset suunnitelmat, säännöt ja menettelytavat niiden hallitsemiseksi.	There is little point in our having approved the directive on habitats and the creation of the "Nature 2000" network in order to protect sites of Community importance, when the Commission has been waiting since 1995 for all the Member States to present a definitive list of these sites, as well as their plans, rules and management mechanisms.
Samoin on käynyt PCB:tä koskevan direktiivin kanssa.	The same problem applies to the directive on PCBs.
Siitä, että olemme kansanterveyden suojelun nimissä kieltäneet polyklooratut bifenyylit ja määränneet kaikki PCB:tä ja PCT:tä sisältävät laitteet puhdistettaviksi, ei ole ollut juurikaan hyötyä, kun viiden vuoden kuluttua jäsenvaltioiden suuri enemmistö ei ainoastaan ole ollut panematta direktiiviä täytäntöön, vaan se ei ole myöskään saanut aikaan kaikkein yksinkertaisinta asiaa: PCB:tä sisältävien laitteiden inventaarioluetteloita ja puhdistussuunnitelmia.	And there is little point in our having stipulated the ban on PCBs and the decontamination of all equipment containing PCBs and PCTs with a view to protecting public health, if five years on, the overwhelming majority of Member States have not only failed to implement the directive, but have also failed to take the most simple action, which was to catalogue PCBs and to produce plans for decontamination.
Kyse on siis siitä, ettei direktiivejä ole yleensä ottaen noudatettu ja siksi ne eivät ole näkyneet ympäristössä odotetulla tavalla.	We therefore have widespread non-compliance and for that reason, these directives have not produced the environmental results hoped for.
Kyse on kuitenkin myös eräänlaisesta rankaisemattomuudesta.	We also have a situation, however, in which a degree of impunity reigns.
Yhteisön kiistajuttujen käsittelyn hitaus ja se, että vilpillisiä jäsenvaltioita rangaistaan taloudellisesti vain harvoin, ovat antaneet kaksi kielteistä poliittista viestiä.	The slowness of the Community's legal processes and the rare use of financial penalties against those Member States that are slow to comply have sent out two negative political messages.
Niitä valtioita, joissa direktiiviä noudatetaan, ei kannusteta jatkamiseen, kun taas niissä valtioissa, joissa direktiiviä ei noudateta, ei tunneta painetta tapojen muuttamiseen.	Those States that do comply feel that there is no incentive to continue and those that do not comply do not feel any pressure to change their ways.
Siksi on olennaista, että komissio, joka valvoo perussopimusten noudattamista, valvoo koko yhteisön lainsäädäntömenettelyn siirtämistä ja noudattamista julkistamalla kunkin jäsenvaltion panoksen ja varmistaen, että niitä, jotka eivät noudata lainsäädäntöä, rangaistaan esimerkinomaisesti.	It is therefore crucial for the Commission, as Guardian of the Treaties, to monitor the whole process of transposing and implementing Community law, publicising the commitment of all the Member States and guaranteeing that those States that do not comply will be penalised as an example.
Arvoisa puhemies, kuten jäsen Jackson erittäin hyvin toi esille, näiden kyseisen kolmen direktiivin täytäntöönpanoa koskevan analyysin tulokset ovat todella huolestuttavat.	Mr President, as Mrs Jackson has so clearly illustrated, the picture which emerges from the analysis of the implementation of the three directives in question gives genuine cause for concern.
